Application number,Title,Applicant(s),Inventor(s),Filing date,Application status,
2011328176,Method for manufacturing a trough mirror for solar trough,Hydro Aluminium Rolled Products GmbH,"Denkmann, Volker; Schenkel, Wilhelm; Siemen, Andreas; Hampel, Ulrich; Eberhard, Sandra",8/11/2011,GRANTED,
2011328285,Method for operation of a photovoltaic installation for feeding electrical power into a medium-voltage power supply grid,Adensis GmbH; SMA Solar Technology AG,"Falk, Andreas; Gerdemann, Aaron Philipp; Niebling, Frank; Beck, Bernhard",4/11/2011,GRANTED,
2011337153,Method of forming contacts for a back-contact solar cell,SunPower Corporation,"Manning, Jane",3/10/2011,GRANTED,
2011338012,Solar receiver,"Mitsubishi Heavy Industries, Ltd.","Kobayashi, Kazuta; Tagawa, Masashi; Osada, Toshiyuki; Aoyama, Kuniaki; Masuda, Masahiro; Okubo, Takeshi; Sasaki, Shuhei; Furutani, Akira; Kato, Jin; Nakatani, Hiromi",11/11/2011,GRANTED,
2011338314,Battery operated solar charged pump kit utilizing an inline submersible pump,Xylem IP Holdings LLC,"Irving, Michael Howard; Schopperle, Jeffrey Brian",8/12/2011,ACCEPTED,
2011339841,Solar cell module and connector for solar cell module,Kabushiki Kaisha Toshiba,"Shinohara, Hirofumi",8/09/2011,FILED,
2011341720,Portable solar power generator and water heating system,The Boeing Company,"Lee, Bailey",22/09/2011,GRANTED,
2011345259,Method for connecting solar cells,SunPower Corporation,"Phu, Thomas; Kumaria, Shashwat; Deleon, Briccio",17/11/2011,ACCEPTED,
2011346645,Naphtalene monoimide derivatives and use thereof as photosensitizers in solar cells and photodetectors,BASF SE,"Pschirer, Neil Gregory; Schoneboom, Jan; Eickemeyer, Felix; Reichelt, Helmut; Sens, Rudiger; Bruder, Ingmar",16/12/2011,FILED,
2011349033,Solar energy absorber unit and solar energy device containing same,Novelis Inc.,"Yuan, Yudie; Hunter, John Anthony",17/11/2011,GRANTED,
2011349604,Locating connectors and methods for mounting solar hardware,SunPower Corporation,"Wares, Brian; Almy, Charles; Barton, Nicholas",16/12/2011,GRANTED,
2011349630,Locating connectors and methods for mounting solar hardware,SunPower Corporation,"Wares, Brian; Almy, Charles",16/12/2011,GRANTED,
2011349904,Solar cell module securing structure,"Yanegijutsukenkyujo CO., LTD.","Kobayashi, Shuichi",1/11/2011,GRANTED,
2011351181,Solar concentrating heat receiver and solar concentrating heat receiving system,"Mitsubishi Heavy Industries, Ltd.","Mitsuda, Kimihiko; Yamamoto, Yasuharu; Osada, Toshiyuki; Tagawa, Masashi; Kobayashi, Kazuta",5/12/2011,GRANTED,
2011354220,Heat transfer medium for solar thermal systems,Siemens Aktiengesellschaft,"Ubler, Matthias; Groppel, Peter; Muller-Elvers, Christian; Murau, Peter; Heilmann, Pascal",2/12/2011,GRANTED,
2011355591,A solar collector drainage arrangement,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",22/12/2011,FILED,
2011355592,A sealing arrangement for a solar collector enclosure,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",22/12/2011,GRANTED,
2011355593,A solar collector ventilation arrangement,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",22/12/2011,FILED,
2011355594,A solar collector panel attachment arrangement,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",22/12/2011,FILED,
2011357237,New solar concentration devices,Evonik Rohm GmbH,"Ackermann, Jochen; Numrich, Uwe; Lafontaine, Grant B.; Pasierb, Michael Thomas; Baumler, Andrew J.",13/12/2011,FILED,
2011358195,Protective device for a photovoltaic system,SMA Solar Technology AG,"Hopf, Markus; Victor, Matthias; Greizer, Frank; Bettenwort, Gerd; Friebe, Jens",18/05/2011,GRANTED,
2011358821,"Clamp connection for the attachment of plate-shaped components, particularly solar modules",Carl Freudenberg KG,"Barth, Armin",12/08/2011,LAPSED,
2011359381,Process and structures for fabrication of solar cells,SunPower Corporation,"Harley, Gabriel; Smith, David D; Dennis, Tim; Waldhauer, Ann; Kim, Taeseok; Cousins, Peter John",20/09/2011,GRANTED,
2011359885,Support mechanism for thermal receivers in the solar trough systems,Hse Hitit Solar Enerji Anonim Sirketi,"Capan, Rahmi Oguz",16/12/2011,FILED,
2011363000,Automatic generation and analysis of solar cell IV curves,SunPower Corporation,"Fischer, Kevin C.; Kraft, Steven M.; Jones, Jason C.",12/12/2011,GRANTED,
2011364489,"Heat receiver tube, method for manufacturing the heat receiver tube, parabolic trough collector with the receiver tube and use of the parabolic trough collector",Siemens Concentrated Solar Power Ltd.,"Aran, Hagai; Barkai, Menashe; Cohen, Gabriel; Ezer, Rami; Lipman, Eli",29/03/2011,FILED,
2011365793,Method and apparatus for making stationery parabolic solar collector,"Ozkul, Tarik","Ozkul, Tarik",26/05/2011,GRANTED,
